AUTHOR,YEAR,TITLE,JOURNAL,CATEGORY,URL_DOI
"Cook, et al.",2020,"Environmental correlates of richness, community composition, and functional traits of terrestrial birds and mammals in a fragmented tropical landscape",Landscape Ecology,ARTICLE,10.1007/s10980-020-01123-4
"Roopsind, et al.",2017,Logging and indigenous hunting impacts on persistence of large Neotropical animals,Biotropica,ARTICLE,10.1111/btp.12446
"Dias, et al.",2019,Human activities influence the occupancy probability of mammalian carnivores in the Brazilian Caatinga,Biotropica,ARTICLE,10.1111/btp.12628
"Iezzi, et al.",2021,Are tree plantations promoting homogenization of mammal assemblages between regions with contrasting environments?,Journal of Biogeography,ARTICLE,10.1111/jbi.14056
"Mella-Méndez, et al.",2019,Effect of free-ranging dogs and cats on medium-sized wild mammal assemblages in urban protected areas of a Mexican city,Wildlife Research,ARTICLE,10.1071/WR19074
"Gómez, et al.",2005,Dry season activity periods of some Amazonian mammals,Studies on Neotropical Fauna and Environment,ARTICLE,10.1080/01650520500129638
"Boron, et al.",2019,"Richness, diversity, and factors influencing occupancy of mammal communities across human-modified landscapes in Colombia",Biological Conservation,ARTICLE,10.1016/j.biocon.2019.01.030
"Santos, et al.",2021,Site and species contribution to β-diversity in terrestrial mammal communities: Evidence from multiple Neotropical forest sites,Science of The Total Environment,ARTICLE,10.1016/j.scitotenv.2021.147946
Camargo-Sanabria & Mendoza,2016,Interactions between terrestrial mammals and the fruits of two neotropical rainforest tree species,Acta Oecologica,ARTICLE,10.1016/j.actao.2016.02.005
"Scullion, et al.",2021,Mammal conservation in Amazonia’s protected areas: A case study of Peru’s Ichigkat Muja - Cordillera del Cóndor National Park,Global Ecology and Conservation,ARTICLE,10.1016/j.gecco.2021.e01451
Mena & Pacheco,2022,Mountains and traits: environmental heterogeneity and mammal assemblages along an elevational gradient in the Northern Andes,Studies on Neotropical Fauna and Environment,ARTICLE,10.1080/01650521.2020.1851345
"Charre-Medellín, et al.",2021,Jaguar (Panthera onca) density in the Sierra Madre del Sur; the last wilderness area in the central-western slope in Mexico,Studies on Neotropical Fauna and Environment,ARTICLE,10.1080/01650521.2021.1895572
"Galetti, et al.",2017,Defaunation and biomass collapse of mammals in the largest Atlantic forest remnant,Animal Conservation,ARTICLE,10.1111/acv.12311
"Davis, et al.",2011,"Carnivore co-existence and habitat use in the Mountain Pine Ridge Forest Reserve, Belize",Animal Conservation,ARTICLE,10.1111/j.1469-1795.2010.00389.x
"Huguenin, et al.",2019,"An updated species list of medium and large-sized mammals of The Augusto Ruschi Biological Reserve, using a novel sampling design",Oecologia Australis,ARTICLE,10.4257/oeco.2019.2301.06
"Paolino, et al.",2016,Buffer zone use by mammals in a Cerrado protected area,Biota Neotropica,ARTICLE,10.1590/1676-0611-BN-2014-0117
"Huarcaya, et al.",2020,Camera trapping reveals a diverse and unique high-elevation mammal community under threat,Oryx,ARTICLE,10.1017/S0030605318001096
"Porfirio, et al.",2018,"Camera traps as a tool for Carnivore conservation in a mosaic of Protected Areas in the Pantanal wetlands, Brazil",Nature Conservation Research,ARTICLE,10.24189/ncr.2018.035
"Botts, et al.",2020,Circadian activity patterns of mammalian predators and prey in Costa Rica,Journal of Mammalogy,ARTICLE,10.1093/jmammal/gyaa103
"Morales-Martínez, et al.",2021,Completeness of rapid assessments of medium and large mammal diversity in the northwestern Amazon in Colombia,Acta Amazonica,ARTICLE,10.1590/1809-4392202100741
"González-Gallina, et al.",2018,Conservation implications for jaguars and other neotropical mammals using highway underpasses,PLOS ONE,ARTICLE,10.1371/journal.pone.0206614
Pardo Vargas,2018,Diversity and habitat use of medium-large sized mammals across oil palm landscapes in the Llanos region of Colombia,,PHDTHESIS,10.25903/5be8adb35232e
Marques & Fabián,2018,Diversity of medium and large neotropical mammals in an area of mixed rain forest,Acta Scientiarum. Biological Sciences,ARTICLE,10.4025/actascibiolsci.v40i1.40910
Srbek-Araujo & Chiarello,2008,Domestic dogs in Atlantic forest preserves of south-eastern Brazil: a camera-trapping study on patterns of entrance and site occupancy rates,Brazilian Journal of Biology,ARTICLE,10.1590/S1519-69842008000400011
"Mena, et al.",2021,Environmental DNA metabarcoding as a useful tool for evaluating terrestrial mammal diversity in tropical forests,Ecological Applications,ARTICLE,10.1002/eap.2335
Vargas et al.,2022,Human disturbance and shifts in vertebrate community composition in a biodiversity hotspot,Conservation Biology,ARTICLE,10.1111/cobi.13813
"Antunes, et al.",2019,Igapó seed patches: a potentially key resource for terrestrial vertebrates in a seasonally flooded forest of central Amazonia,Biological Journal of the Linnean Society,ARTICLE,10.1093/biolinnean/blz101
